epoch,quantize_thresholds
27,"[0.0008065704605542123, 0.0008065704605542123, 0.0008065704605542123, 0.0008065704605542123, 0.0008065704605542123, 0.0008065704605542123, 0.0008065704605542123, 0.0008065704605542123, 0.0008065704605542123, 0.0008065704605542123, 0.0008065704605542123, 0.0008065704605542123, 0.0008065704605542123, 0.0008065704605542123, 0.0008065704605542123, 0.0008065704605542123, 0.0008065704605542123, 0.0008065704605542123, 0.0008065704605542123, 0.0008065704605542123, 0.0008065704605542123, 0.0008065704605542123, 0.0008065704605542123, 0.0008065704605542123, 0.0008065704605542123, 0.0008065704605542123, 0.0008065704605542123, 0.0008065704605542123, 0.0008065704605542123, 0.0008065704605542123, 0.0008065704605542123, 0.0008065704605542123, 0.0008065704605542123, 0.0008065704605542123, 0.0008065704605542123, 0.0008065704605542123, 0.0008065704605542123, 0.0008065704605542123, 0.0008065704605542123, 0.0008065704605542123, 0.0008065704605542123, 0.0008065704605542123, 0.0008065704605542123, 0.0008065704605542123, 0.0008065704605542123, 0.0008065704605542123, 0.0008065704605542123, 0.0008065704605542123, 0.0008065704605542123, 0.0008065704605542123]"
28,"[0.0006661586812697351, 0.0006661586812697351, 0.0006661586812697351, 0.0006661586812697351, 0.0006661586812697351, 0.0006661586812697351, 0.0006661586812697351, 0.0006661586812697351, 0.0006661586812697351, 0.0006661586812697351, 0.0006661586812697351, 0.0006661586812697351, 0.0006661586812697351, 0.0006661586812697351, 0.0006661586812697351, 0.0006661586812697351, 0.0006661586812697351, 0.0006661586812697351, 0.0006661586812697351, 0.0006661586812697351, 0.0006661586812697351, 0.0006661586812697351, 0.0006661586812697351, 0.0006661586812697351, 0.0006661586812697351, 0.0006661586812697351, 0.0006661586812697351, 0.0006661586812697351, 0.0006661586812697351, 0.0006661586812697351, 0.0006661586812697351, 0.0006661586812697351, 0.0006661586812697351, 0.0006661586812697351, 0.0006661586812697351, 0.0006661586812697351, 0.0006661586812697351, 0.0006661586812697351, 0.0006661586812697351, 0.0006661586812697351, 0.0006661586812697351, 0.0006661586812697351, 0.0006661586812697351, 0.0006661586812697351, 0.0006661586812697351, 0.0006661586812697351, 0.0006661586812697351, 0.0006661586812697351, 0.0006661586812697351, 0.0006661586812697351]"
29,"[0.0005522694555111229, 0.0005522694555111229, 0.0005522694555111229, 0.0005522694555111229, 0.0005522694555111229, 0.0005522694555111229, 0.0005522694555111229, 0.0005522694555111229, 0.0005522694555111229, 0.0005522694555111229, 0.0005522694555111229, 0.0005522694555111229, 0.0005522694555111229, 0.0005522694555111229, 0.0005522694555111229, 0.0005522694555111229, 0.0005522694555111229, 0.0005522694555111229, 0.0005522694555111229, 0.0005522694555111229, 0.0005522694555111229, 0.0005522694555111229, 0.0005522694555111229, 0.0005522694555111229, 0.0005522694555111229, 0.0005522694555111229, 0.0005522694555111229, 0.0005522694555111229, 0.0005522694555111229, 0.0005522694555111229, 0.0005522694555111229, 0.0005522694555111229, 0.0005522694555111229, 0.0005522694555111229, 0.0005522694555111229, 0.0005522694555111229, 0.0005522694555111229, 0.0005522694555111229, 0.0005522694555111229, 0.0005522694555111229, 0.0005522694555111229, 0.0005522694555111229, 0.0005522694555111229, 0.0005522694555111229, 0.0005522694555111229, 0.0005522694555111229, 0.0005522694555111229, 0.0005522694555111229, 0.0005522694555111229, 0.0005522694555111229]"
30,"[0.00045963528100401163, 0.00045963528100401163, 0.00045963528100401163, 0.00045963528100401163, 0.00045963528100401163, 0.00045963528100401163, 0.00045963528100401163, 0.00045963528100401163, 0.00045963528100401163, 0.00045963528100401163, 0.00045963528100401163, 0.00045963528100401163, 0.00045963528100401163, 0.00045963528100401163, 0.00045963528100401163, 0.00045963528100401163, 0.00045963528100401163, 0.00045963528100401163, 0.00045963528100401163, 0.00045963528100401163, 0.00045963528100401163, 0.00045963528100401163, 0.00045963528100401163, 0.00045963528100401163, 0.00045963528100401163, 0.00045963528100401163, 0.00045963528100401163, 0.00045963528100401163, 0.00045963528100401163, 0.00045963528100401163, 0.00045963528100401163, 0.00045963528100401163, 0.00045963528100401163, 0.00045963528100401163, 0.00045963528100401163, 0.00045963528100401163, 0.00045963528100401163, 0.00045963528100401163, 0.00045963528100401163, 0.00045963528100401163, 0.00045963528100401163, 0.00045963528100401163, 0.00045963528100401163, 0.00045963528100401163, 0.00045963528100401163, 0.00045963528100401163, 0.00045963528100401163, 0.00045963528100401163, 0.00045963528100401163, 0.00045963528100401163]"
31,"[0.00038403065991587937, 0.00038403065991587937, 0.00038403065991587937, 0.00038403065991587937, 0.00038403065991587937, 0.00038403065991587937, 0.00038403065991587937, 0.00038403065991587937, 0.00038403065991587937, 0.00038403065991587937, 0.00038403065991587937, 0.00038403065991587937, 0.00038403065991587937, 0.00038403065991587937, 0.00038403065991587937, 0.00038403065991587937, 0.00038403065991587937, 0.00038403065991587937, 0.00038403065991587937, 0.00038403065991587937, 0.00038403065991587937, 0.00038403065991587937, 0.00038403065991587937, 0.00038403065991587937, 0.00038403065991587937, 0.00038403065991587937, 0.00038403065991587937, 0.00038403065991587937, 0.00038403065991587937, 0.00038403065991587937, 0.00038403065991587937, 0.00038403065991587937, 0.00038403065991587937, 0.00038403065991587937, 0.00038403065991587937, 0.00038403065991587937, 0.00038403065991587937, 0.00038403065991587937, 0.00038403065991587937, 0.00038403065991587937, 0.00038403065991587937, 0.00038403065991587937, 0.00038403065991587937, 0.00038403065991587937, 0.00038403065991587937, 0.00038403065991587937, 0.00038403065991587937, 0.00038403065991587937, 0.00038403065991587937, 0.00038403065991587937]"
32,"[0.00032214782549999654, 0.00032214782549999654, 0.00032214782549999654, 0.00032214782549999654, 0.00032214782549999654, 0.00032214782549999654, 0.00032214782549999654, 0.00032214782549999654, 0.00032214782549999654, 0.00032214782549999654, 0.00032214782549999654, 0.00032214782549999654, 0.00032214782549999654, 0.00032214782549999654, 0.00032214782549999654, 0.00032214782549999654, 0.00032214782549999654, 0.00032214782549999654, 0.00032214782549999654, 0.00032214782549999654, 0.00032214782549999654, 0.00032214782549999654, 0.00032214782549999654, 0.00032214782549999654, 0.00032214782549999654, 0.00032214782549999654, 0.00032214782549999654, 0.00032214782549999654, 0.00032214782549999654, 0.00032214782549999654, 0.00032214782549999654, 0.00032214782549999654, 0.00032214782549999654, 0.00032214782549999654, 0.00032214782549999654, 0.00032214782549999654, 0.00032214782549999654, 0.00032214782549999654, 0.00032214782549999654, 0.00032214782549999654, 0.00032214782549999654, 0.00032214782549999654, 0.00032214782549999654, 0.00032214782549999654, 0.00032214782549999654, 0.00032214782549999654, 0.00032214782549999654, 0.00032214782549999654, 0.00032214782549999654, 0.00032214782549999654]"
33,"[0.00027133728144690394, 0.00027133728144690394, 0.00027133728144690394, 0.00027133728144690394, 0.00027133728144690394, 0.00027133728144690394, 0.00027133728144690394, 0.00027133728144690394, 0.00027133728144690394, 0.00027133728144690394, 0.00027133728144690394, 0.00027133728144690394, 0.00027133728144690394, 0.00027133728144690394, 0.00027133728144690394, 0.00027133728144690394, 0.00027133728144690394, 0.00027133728144690394, 0.00027133728144690394, 0.00027133728144690394, 0.00027133728144690394, 0.00027133728144690394, 0.00027133728144690394, 0.00027133728144690394, 0.00027133728144690394, 0.00027133728144690394, 0.00027133728144690394, 0.00027133728144690394, 0.00027133728144690394, 0.00027133728144690394, 0.00027133728144690394, 0.00027133728144690394, 0.00027133728144690394, 0.00027133728144690394, 0.00027133728144690394, 0.00027133728144690394, 0.00027133728144690394, 0.00027133728144690394, 0.00027133728144690394, 0.00027133728144690394, 0.00027133728144690394, 0.00027133728144690394, 0.00027133728144690394, 0.00027133728144690394, 0.00027133728144690394, 0.00027133728144690394, 0.00027133728144690394, 0.00027133728144690394, 0.00027133728144690394, 0.00027133728144690394]"
34,"[0.00022948579862713814, 0.00022948579862713814, 0.00022948579862713814, 0.00022948579862713814, 0.00022948579862713814, 0.00022948579862713814, 0.00022948579862713814, 0.00022948579862713814, 0.00022948579862713814, 0.00022948579862713814, 0.00022948579862713814, 0.00022948579862713814, 0.00022948579862713814, 0.00022948579862713814, 0.00022948579862713814, 0.00022948579862713814, 0.00022948579862713814, 0.00022948579862713814, 0.00022948579862713814, 0.00022948579862713814, 0.00022948579862713814, 0.00022948579862713814, 0.00022948579862713814, 0.00022948579862713814, 0.00022948579862713814, 0.00022948579862713814, 0.00022948579862713814, 0.00022948579862713814, 0.00022948579862713814, 0.00022948579862713814, 0.00022948579862713814, 0.00022948579862713814, 0.00022948579862713814, 0.00022948579862713814, 0.00022948579862713814, 0.00022948579862713814, 0.00022948579862713814, 0.00022948579862713814, 0.00022948579862713814, 0.00022948579862713814, 0.00022948579862713814, 0.00022948579862713814, 0.00022948579862713814, 0.00022948579862713814, 0.00022948579862713814, 0.00022948579862713814, 0.00022948579862713814, 0.00022948579862713814, 0.00022948579862713814, 0.00022948579862713814]"
35,"[0.00019490245904307812, 0.00019490245904307812, 0.00019490245904307812, 0.00019490245904307812, 0.00019490245904307812, 0.00019490245904307812, 0.00019490245904307812, 0.00019490245904307812, 0.00019490245904307812, 0.00019490245904307812, 0.00019490245904307812, 0.00019490245904307812, 0.00019490245904307812, 0.00019490245904307812, 0.00019490245904307812, 0.00019490245904307812, 0.00019490245904307812, 0.00019490245904307812, 0.00019490245904307812, 0.00019490245904307812, 0.00019490245904307812, 0.00019490245904307812, 0.00019490245904307812, 0.00019490245904307812, 0.00019490245904307812, 0.00019490245904307812, 0.00019490245904307812, 0.00019490245904307812, 0.00019490245904307812, 0.00019490245904307812, 0.00019490245904307812, 0.00019490245904307812, 0.00019490245904307812, 0.00019490245904307812, 0.00019490245904307812, 0.00019490245904307812, 0.00019490245904307812, 0.00019490245904307812, 0.00019490245904307812, 0.00019490245904307812, 0.00019490245904307812, 0.00019490245904307812, 0.00019490245904307812, 0.00019490245904307812, 0.00019490245904307812, 0.00019490245904307812, 0.00019490245904307812, 0.00019490245904307812, 0.00019490245904307812, 0.00019490245904307812]"
36,"[0.00016622725524939597, 0.00016622725524939597, 0.00016622725524939597, 0.00016622725524939597, 0.00016622725524939597, 0.00016622725524939597, 0.00016622725524939597, 0.00016622725524939597, 0.00016622725524939597, 0.00016622725524939597, 0.00016622725524939597, 0.00016622725524939597, 0.00016622725524939597, 0.00016622725524939597, 0.00016622725524939597, 0.00016622725524939597, 0.00016622725524939597, 0.00016622725524939597, 0.00016622725524939597, 0.00016622725524939597, 0.00016622725524939597, 0.00016622725524939597, 0.00016622725524939597, 0.00016622725524939597, 0.00016622725524939597, 0.00016622725524939597, 0.00016622725524939597, 0.00016622725524939597, 0.00016622725524939597, 0.00016622725524939597, 0.00016622725524939597, 0.00016622725524939597, 0.00016622725524939597, 0.00016622725524939597, 0.00016622725524939597, 0.00016622725524939597, 0.00016622725524939597, 0.00016622725524939597, 0.00016622725524939597, 0.00016622725524939597, 0.00016622725524939597, 0.00016622725524939597, 0.00016622725524939597, 0.00016622725524939597, 0.00016622725524939597, 0.00016622725524939597, 0.00016622725524939597, 0.00016622725524939597, 0.00016622725524939597, 0.00016622725524939597]"
