epoch,test_acc_before_rounding,test_acc,regularization_loss,model_sparsity
111,-1,19.34,0.0,1.8025907817065172
112,-1,29.09,0.0,1.8025907817065172
113,-1,26.3,0.0,1.8025907817065172
114,-1,14.12,0.0,1.8025907817065172
115,-1,16.48,0.0,1.8025907817065172
116,-1,27.67,0.0,1.8025907817065172
117,-1,26.23,0.0,1.8025907817065172
118,-1,26.84,0.0,1.8025907817065172
119,-1,10.0,0.0,1.8025907817065172
120,-1,25.16,0.0,1.8025907817065172
121,-1,23.5,0.0,1.8025907817065172
122,-1,25.82,0.0,1.8025907817065172
123,-1,22.9,0.0,1.8025907817065172
124,-1,19.69,0.0,1.8025907817065172
125,-1,23.04,0.0,1.8025907817065172
126,-1,19.52,0.0,1.8025907817065172
127,-1,22.04,0.0,1.8025907817065172
128,-1,25.4,0.0,1.8025907817065172
129,-1,25.08,0.0,1.8025907817065172
130,-1,16.85,0.0,1.8025907817065172
131,-1,32.3,0.0,1.8025907817065172
132,-1,20.93,0.0,1.8025907817065172
133,-1,29.39,0.0,1.8025907817065172
134,-1,16.7,0.0,1.8025907817065172
135,-1,26.5,0.0,1.8025907817065172
136,-1,20.61,0.0,1.8025907817065172
137,-1,20.18,0.0,1.8025907817065172
138,-1,29.83,0.0,1.8025907817065172
139,-1,17.78,0.0,1.8025907817065172
140,-1,21.12,0.0,1.8025907817065172
141,-1,25.54,0.0,1.8025907817065172
142,-1,22.71,0.0,1.8025907817065172
