epoch,test_acc_before_rounding,test_acc,regularization_loss,model_sparsity
42,50.48,50.48,0.5354573130607605,2.8434500029813368
43,58.13,58.13,0.5261255502700806,2.8542573489952896
44,47.68,47.68,0.5174382328987122,2.857611352930654
45,55.7,55.7,0.5085801482200623,2.8453133385009837
46,52.65,52.65,0.5003204941749573,2.8292886530320196
47,56.27,56.27,0.4925983250141144,2.8512760121638543
48,59.05,59.05,0.48552292585372925,2.84754934112456
49,40.09,40.09,0.47879427671432495,2.8680460318406773
50,56.11,56.11,0.4722064733505249,2.8896607238685825
51,48.33,48.33,0.46591633558273315,2.862456025281736
52,54.38,54.38,0.460313081741333,2.8449406713970546
53,59.03,59.03,0.45512259006500244,2.869909367360324
54,34.38,34.38,0.4497840106487274,2.856493351618866
55,45.27,45.27,0.4450767934322357,2.8795987120624886
56,52.05,52.05,0.44014808535575867,2.8587293542424423
57,56.06,56.06,0.4358644485473633,2.8184813070180668
58,40.44,40.44,0.4318302571773529,2.850903345059925
59,54.93,54.93,0.4284135699272156,2.8795987120624886
60,47.2,47.2,0.4245295226573944,2.861338023969948
61,56.93,56.93,0.4211152195930481,2.829661320135949
62,42.85,42.85,0.41785043478012085,2.901958738298253
63,58.54,58.54,0.41462206840515137,2.878108043646771
64,53.99,53.99,0.41168633103370667,2.84754934112456
65,59.0,59.0,0.4089324474334717,2.8766173752310538
66,49.58,49.58,0.40612685680389404,2.844568004293125
67,48.8,48.8,0.40335899591445923,2.833387991175243
68,34.13,34.13,0.4011189639568329,2.8687913660485362
69,57.04,57.04,0.398949533700943,2.863946693697454
70,61.28,61.28,0.3966953158378601,2.8848160515175003
71,52.39,52.39,0.39447858929634094,2.8952507304275237
72,35.15,35.15,0.3922683596611023,2.869536700256395
73,55.44,55.44,0.3901197612285614,2.8646920279053125
74,62.28,62.28,0.3880102336406708,2.863946693697454
75,37.14,37.14,0.3859986960887909,2.849785343748137
76,53.38,53.38,0.3838661015033722,2.8386053306302546
77,53.01,53.01,0.3821098506450653,2.849040009540278
78,65.95,65.95,0.3803197145462036,2.876990042334983
79,45.32,45.32,0.3785746991634369,2.8468040069167015
80,53.78,53.78,0.37695786356925964,2.8505306779559954
81,52.16,52.16,0.37492865324020386,2.854630016099219
82,52.32,52.32,0.3729800581932068,2.8419593345656193
83,45.97,45.97,0.3711639940738678,2.825934649096655
84,63.03,63.03,0.36949631571769714,2.845686005604913
85,46.53,46.53,0.36781489849090576,2.8251893148887963
86,58.34,58.34,0.3662292957305908,2.8441953371891957
87,44.97,44.97,0.36463791131973267,2.8352513266948898
88,55.43,55.43,0.3630349040031433,2.840841333253831
89,35.92,35.92,0.3611522614955902,2.8430773358774073
90,60.18,60.18,0.35924646258354187,2.8643193608013835
91,48.9,48.9,0.3574002981185913,2.8400959990459724
92,52.42,52.42,0.3557355999946594,2.8352513266948898
93,55.88,55.88,0.3541718125343323,2.8032019557569616
94,47.2,47.2,0.35261133313179016,2.8169906386023493
95,56.9,56.9,0.3511859178543091,2.796493947886232
96,42.63,42.63,0.3499428927898407,2.809164629419832
97,61.27,61.27,0.34814199805259705,2.79164927553515
98,58.03,58.03,0.3464047312736511,2.8311519885516665
99,58.39,58.39,0.3446542024612427,2.802083954445173
100,54.05,54.05,0.34308648109436035,2.7793512611054796
101,53.89,53.89,0.341605007648468,2.7782332597936916
102,51.75,51.75,0.3401492238044739,2.771525251922962
103,44.84,44.84,0.3389055132865906,2.7868046031840676
104,58.97,58.97,0.3376367390155792,2.7957486136783736
105,51.15,51.15,0.33594009280204773,2.7950032794705146
106,61.62,61.62,0.3343987464904785,2.7827052650408444
107,56.64,56.64,0.3328677713871002,2.7812145966251265
108,66.47,66.47,0.3314934968948364,2.7633265756365155
109,37.69,37.69,0.33012691140174866,2.770407250611174
110,58.58,58.58,0.32889872789382935,2.774133921650468
111,41.54,41.54,0.32764431834220886,2.7588545703893628
112,55.66,55.66,0.32651287317276,2.7733885874426094
113,51.55,51.55,0.3251337707042694,2.781587263729056
114,51.56,51.56,0.32381314039230347,2.771525251922962
