test,nact,before
87.84,80.0,10.87
88.03,80.0,10.87
88.2,80.0,10.87
88.48,80.0,10.87
88.32,80.0,10.87
88.28,80.0,10.87
88.41,80.0,10.87
88.35,80.0,10.87
88.48,80.0,10.87
88.56,80.0,10.87
88.39,80.0,10.87
88.24,80.0,10.87
88.47,80.0,10.87
88.34,80.0,10.87
88.27,80.0,10.87
88.42,80.0,10.87
88.79,80.0,10.87
88.85,80.0,10.87
88.7,80.0,10.87
88.63,80.0,10.87
88.56,80.0,10.87
88.61,80.0,10.87
88.48,80.0,10.87
88.72,80.0,10.87
88.61,80.0,10.87
88.62,80.0,10.87
88.53,80.0,10.87
88.68,80.0,10.87
88.86,80.0,10.87
88.69,80.0,10.87
88.83,80.0,10.87
88.23,80.0,10.87
88.71,80.0,10.87
88.99,80.0,10.87
88.6,80.0,10.87
88.83,80.0,10.87
88.8,80.0,10.87
88.25,80.0,10.87
89.15,80.0,10.87
89.0,80.0,10.87
88.76,80.0,10.87
88.8,80.0,10.87
88.88,80.0,10.87
88.79,80.0,10.87
89.34,80.0,10.87
89.1,80.0,10.87
88.66,80.0,10.87
88.85,80.0,10.87
89.16,80.0,10.87
88.71,80.0,10.87
88.72,80.0,10.87
88.9,80.0,10.87
89.35,80.0,10.87
88.59,80.0,10.87
89.15,80.0,10.87
88.97,80.0,10.87
89.29,80.0,10.87
89.37,80.0,10.87
89.13,80.0,10.87
89.25,80.0,10.87
89.0,80.0,10.87
89.16,80.0,10.87
89.3,80.0,10.87
89.36,80.0,10.87
89.22,80.0,10.87
89.34,80.0,10.87
89.1,80.0,10.87
89.16,80.0,10.87
89.24,80.0,10.87
89.62,80.0,10.87
88.94,80.0,10.87
88.97,80.0,10.87
89.03,80.0,10.87
89.29,80.0,10.87
88.86,80.0,10.87
89.3,80.0,10.87
89.1,80.0,10.87
88.97,80.0,10.87
89.27,80.0,10.87
88.79,80.0,10.87
89.31,80.0,10.87
89.24,80.0,10.87
89.17,80.0,10.87
90.06,80.0,10.87
89.71,80.0,10.87
89.41,80.0,10.87
88.87,80.0,10.87
89.25,80.0,10.87
89.11,80.0,10.87
88.93,80.0,10.87
89.41,80.0,10.87
89.39,80.0,10.87
89.52,80.0,10.87
